question,paragraphOne,unorderedListOne,orderedListOne,paragraphTwo,unorderedListTwo,orderedListTwo,paragraphThree,link
Who can I contact if I’m concerned about the security of my dorm? (on campus),"According to VCU Audit and Compliance Services, it seems to be the responsibility of building access control, but says nothing about where students can submit concerns. In the VCU LiveSafe app, there do seem to be ways to contact VCU Police and security.",,,If you have an emergency browse this website and contact them immediately!,,,,https://police.vcu.edu/about/contact-us/
What should I do if I find an intruder in my apartment?,,,"Verify their presence
~Stay calm
~Determine if you can escape
~Stay put if you can't
~Call the police
~Keep quiet
~Take notes afterward",,,,,https://www.safewise.com/blog/what-to-do-when-an-intruder-is-in-your-home/
